playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2021,Ilya Lyubushkin,TOR,D,4on5,77,8446,176,8.72,0.1,0.17,0.11,0.15,0.13,0.16,218,1.03,0.05,0.1,0.25,0.07,0.64,0.88,0.05,0.05,0.05,0,1,2,0,1,3,1,0,0,0,1,0,1,0,2,2,3,6,0,15,2,4,2,0,0,0.05,0,0,0,0,0,3,2,2,4,0.02,0,0,0.07,0.07,0.07,176,4,79,9,84,8,32,28,108,0,0,12122,6,0,0,0,23.23,2.12,2.12,2.12,2.12,25,7,3,35,2,0,0,22,8,2,0.59,1,0.53,1,1,0,35,32,32,0.28,0,0,2.4,2.4,2.39,157.27,18.39,17.88,18.39,17.88,158,61,51,270,25,18,2,167,30,22,4.72,3.58,10.08,6,3,16,270,219,219,3.77,2.59,2.59,19.57,19.57,19.17,4.77,23.73,57,328,0.49,0.03,3,1,3,1
8476952,2021,Dominic Toninato,WPG,C,4on5,77,6545,186,6.23,0.16,0.17,0.11,0.16,0.12,0.17,240,4.17,0.68,0.3,0.45,0.11,1.17,2.29,0.66,0.68,0.66,3,0,4,1,3,8,4,1,1,0,0,0,1,2,3,4,1,2,4,2,2,1,2,2,1,0.09,0.38,0.2,0,1,0,8,5,5,1,0.07,0.19,0.19,0.55,0.55,0.55,186,1,67,8,110,10,37,29,110,4,2,12045,2,0,0,0,16.8,2.76,2.74,2.76,2.74,20,1,4,25,5,1,0,11,4,6,0.38,0.67,1.71,0,2,3,25,21,21,0.23,0.19,0.19,2.8,2.8,2.79,108.28,14.48,13.74,14.48,13.74,120,30,47,197,18,12,4,104,29,17,2.75,3.44,8.29,2,5,11,197,150,150,2.65,3.57,3.57,13.57,13.57,13.02,5.76,28.08,64,346,0.01,0.1,1,4,1,2
8477210,2021,Buddy Robinson,ANA,R,4on5,32,1051,35,4.45,0.07,0.12,0.1,0.11,0.12,0.13,102,1.59,0.09,0.05,0.13,0.04,0.42,1.28,0.09,0.09,0.09,0,0,1,1,0,2,0,0,0,0,0,0,0,2,1,2,1,5,0,1,2,0,2,0,0,0.09,0,0,0,0,0,2,2,2,0,0.01,0,0,0.1,0.1,0.1,35,0,5,1,29,1,7,5,22,0,1,5566,5,0,0,0,2.26,0.09,0.09,0.09,0.09,2,1,0,3,0,0,0,3,0,0,0.09,0,0,0,0,0,3,3,3,0.02,0,0,0.11,0.11,0.11,15.43,1.24,1.17,1.24,1.17,12,10,4,26,1,2,0,15,7,0,0.43,0.82,0,0,1,0,26,22,22,0.32,0.14,0.14,1.42,1.42,1.35,2.07,14.68,23,178,0,0,0,0,0,0
8481186,2021,Logan O'Connor,COL,R,4on5,81,9500,236,27.81,0.16,0.1,0.16,0.13,0.18,0.14,206,16.61,2.09,1.08,1.96,0.41,4.98,10.48,2.09,2.09,2.09,3,0,19,2,2,23,4,1,0,0,3,1,5,11,18,20,1,2,3,3,8,1,11,7,3,0.35,1.06,0.68,0,1,0,23,21,21,1,0.24,0,0,2.34,2.34,2.34,236,8,102,13,113,11,41,40,144,3,0,12107,2,0,0,0,32.78,3.86,3.85,3.86,3.85,38,4,5,47,4,0,0,26,11,5,1.08,1.62,1.16,2,1,1,47,42,42,0.45,0,0,4.31,4.31,4.29,140.08,20.68,18.88,20.68,18.88,137,60,56,253,21,18,6,133,40,24,3.77,4.84,12.06,4,2,15,253,197,197,3.51,5.22,5.22,18.96,18.96,17.85,2.55,22.23,48,332,0.06,0.09,2,2,1,2
8476391,2021,T.J. Tynan,LAK,C,4on5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480990,2021,Declan Chisholm,WPG,D,4on5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8480304,2021,Jayden Halbgewachs,SJS,L,4on5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477447,2021,Shea Theodore,VGK,D,4on5,78,1372,48,16.38,0.26,0.09,0.23,0.08,0.25,0.1,114,0.3,0.01,0.07,0.14,0.05,0.41,0.32,0.01,0.01,0.01,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,1,1,0,0,0.01,0,0,0,0,0,1,1,1,1,0.01,0,0,0.02,0.02,0.02,48,0,8,1,39,4,13,7,24,0,0,6031,2,0,0,0,8.38,1.26,1.26,1.26,1.26,9,2,0,11,1,0,0,5,4,2,0.19,0.51,0.55,0,0,1,11,11,11,0.13,0,0,1.38,1.38,1.38,23.11,3.55,3.31,3.55,3.31,30,3,4,37,3,3,1,26,3,4,0.51,0.53,2.51,1,0,2,37,33,33,0.5,1.31,1.31,2.73,2.73,2.53,1.35,13.19,17,202,0,0,0,0,0,0
8478447,2021,Nick Merkley,SJS,R,4on5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475246,2021,Kevin Connauton,PHI,D,4on5,39,1122,28,-0.52,0.06,0.19,0.1,0.19,0.11,0.22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,6,2,20,2,8,2,16,0,0,2825,0,0,0,0,2.94,0.17,0.17,0.17,0.17,4,0,0,4,0,0,0,4,0,0,0.17,0,0,0,0,0,4,4,4,0.03,0,0,0.19,0.19,0.19,22.97,2.42,2.27,2.42,2.27,29,2,7,38,2,3,0,24,2,5,0.67,0.2,1.55,0,0,2,38,31,31,0.51,0.49,0.49,2.44,2.44,2.37,0.78,3.32,17,71,0,0,1,0,1,0
8482634,2021,Alex Steeves,TOR,C,4on5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475167,2021,Victor Hedman,TBL,D,4on5,82,9425,193,89.45,0.2,0.1,0.17,0.11,0.2,0.12,226,2.69,0.19,0.14,0.34,0.09,0.95,2.29,0.19,0.19,0.19,0,0,2,2,1,5,0,0,0,0,0,0,0,4,2,4,1,2,0,5,6,4,3,1,0,0.08,0.12,0,0,0,0,5,4,4,4,0.03,0,0,0.22,0.22,0.22,193,3,48,10,132,11,31,30,121,0,0,13948,2,4,2,4,31.32,4.73,4.58,4.73,4.58,32,8,5,45,7,3,1,16,15,9,0.34,2.02,2.37,1,1,5,45,40,40,0.44,0.85,0.85,4.31,4.31,4.29,114.58,18.46,16.9,18.46,16.9,118,40,57,215,18,9,2,98,36,24,2.63,4.11,11.72,4,3,11,215,158,158,2.44,2.49,2.49,18.4,18.4,17.19,2.87,26.96,48,384,0.08,0.01,3,1,3,1
8477021,2021,Alexander Kerfoot,TOR,C,4on5,82,7970,226,49.12,0.27,0.26,0.24,0.21,0.26,0.23,247,11.76,1.57,0.65,1.42,0.33,3.43,7.61,1.55,1.57,1.55,3,0,10,5,3,18,3,0,1,0,3,1,3,7,10,15,0,0,15,5,9,2,7,6,2,0.2,0.75,0.61,0,0,0,18,15,15,1,0.15,0.09,0.09,1.63,1.63,1.63,226,4,43,10,169,14,34,29,149,15,0,13993,0,0,0,0,37.91,4.3,4.18,4.3,4.18,38,12,5,55,3,2,0,30,16,4,0.97,2.08,1.24,1,2,0,55,50,50,0.48,0.44,0.09,4.69,4.69,4.59,104.32,11.5,11.01,11.5,11.01,114,31,27,172,16,17,2,95,39,11,2.19,5.14,4.18,4,8,4,172,145,145,2.53,3.15,3.15,10.88,10.88,10.67,6.39,17.79,81,302,0.54,0.18,5,7,5,6
8480019,2021,Isaac Ratcliffe,PHI,L,4on5,10,8,1,0.75,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,6,0,0,0,0,0,0
8475728,2021,Johan Larsson,WSH,L,4on5,43,3805,93,15.61,0.03,0.13,0.09,0.13,0.09,0.13,131,1.49,0.05,0.05,0.3,0.05,0.46,1.1,0.05,0.05,0.05,0,0,1,1,2,4,0,0,0,0,0,0,0,2,1,2,2,4,19,1,1,1,2,0,0,0.05,0,0,0,0,0,4,2,2,1,0.01,0,0,0.06,0.06,0.06,93,0,46,5,42,6,19,13,55,19,5,8221,4,0,0,0,6.37,0.24,0.23,0.24,0.23,8,1,2,11,0,0,0,8,1,0,0.15,0.08,0,0,0,0,11,9,9,0.07,0,0,0.3,0.3,0.3,62.21,7.19,6.19,7.19,6.19,65,22,29,116,10,7,1,67,13,7,1.9,1.62,3.67,4,3,3,116,87,87,1.53,0.71,0.71,8.01,8.01,6.98,2.35,15.17,36,235,0,0.13,0,1,0,1
8476891,2021,Matt Grzelcyk,BOS,D,4on5,73,721,43,16.13,0.05,0.14,0.17,0.15,0.19,0.18,180,0.68,0.01,0.01,0.09,0.02,0.22,0.66,0.01,0.01,0.01,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,1,0,0,0.01,0,0,0,0,0,1,1,1,0,0.01,0,0,0.01,0.01,0.01,43,1,10,4,28,4,8,7,24,0,0,10530,0,2,1,1,2.07,0.1,0.1,0.1,0.1,3,0,0,3,0,0,0,3,0,0,0.1,0,0,0,0,0,3,3,3,0.02,0,0,0.12,0.12,0.12,9.93,1.96,1.93,1.96,1.93,7,6,2,15,2,0,0,9,1,3,0.25,0.18,1.53,1,0,1,15,13,13,0.18,0,0,2.14,2.14,2.11,3.09,18.79,47,267,0.03,0,1,0,1,0
8479325,2021,Charlie McAvoy,BOS,D,4on5,78,9453,187,75,0.1,0.12,0.13,0.14,0.16,0.16,208,0.75,0.01,0.01,0.03,0.02,0.21,0.73,0.01,0.01,0.01,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,11,8,5,1,0,0,0.01,0,0,0,0,0,2,1,1,5,0,0,0,0.01,0.01,0.01,187,2,62,5,118,3,34,25,125,0,0,13125,0,4,2,6,27.27,2.42,2.34,2.42,2.34,29,8,3,40,2,2,1,26,9,2,0.67,1.23,0.52,0,1,1,40,37,37,0.3,0.42,0.42,2.29,2.29,2.27,141.2,21.36,19.57,21.36,19.57,152,48,61,261,13,18,5,139,35,26,3.57,4.27,13.53,1,3,9,261,200,200,3.3,6.29,6.29,17.91,17.91,16.85,2.82,20.03,53,333,0.1,0.01,5,1,3,1
8481604,2021,Pavel Dorofeyev,VGK,L,4on5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481122,2021,Simon Benoit,ANA,D,4on5,53,2247,52,1.97,0.01,0.07,0.03,0.1,0.03,0.1,122,0.71,0.05,0.04,0.13,0.03,0.21,0.54,0.04,0.05,0.04,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,1,1,0,0,0.05,0,0,0,0,0,1,1,1,1,0.01,0,0,0.06,0.06,0.05,52,1,8,0,43,3,14,7,28,0,0,7163,0,0,0,0,1.44,0.08,0.08,0.08,0.08,2,0,0,2,0,0,0,2,0,0,0.08,0,0,0,0,0,2,2,2,0.02,0,0,0.1,0.1,0.09,47.91,6.12,5.79,6.12,5.79,54,13,6,73,4,6,1,40,23,4,1.2,2.76,2.15,0,2,2,73,67,67,1,1.46,1.23,5.89,5.89,5.52,0.91,13.14,22,206,0.01,0,1,0,1,0
8475848,2021,Brendan Gallagher,MTL,R,4on5,56,68,6,6.88,0.49,0.06,0.5,0.14,0.5,0.14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,5,0,0,0,6,0,1,2062,0,2,1,0,0.77,0.02,0.02,0.02,0.02,1,0,0,1,0,0,0,1,0,0,0.02,0,0,0,0,0,1,1,1,0,0,0,0.02,0.02,0.02,0.59,0.02,0.02,0.02,0.02,1,0,0,1,0,0,0,1,0,0,0.02,0,0,0,0,0,1,1,1,0.01,0,0,0.03,0.03,0.03,0.32,4.77,10,64,0,0,0,0,0,0
8474066,2021,Thomas Hickey,NYI,D,4on5,2,360,3,-0.8,0.26,1,0.14,0.75,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,0,2,0,0,104,0,0,0,0,1.45,0.26,0.26,0.26,0.26,2,0,0,2,0,0,0,1,0,1,0.01,0,0.25,0,0,0,2,2,2,0.02,0,0,0.28,0.28,0.28,4.77,0.72,0.72,0.72,0.72,6,2,4,12,1,0,0,7,0,1,0.07,0,0.65,0,0,1,12,8,8,0.1,0,0,0.83,0.83,0.82,0.06,0,3,1,0,0,0,0,0,0
8476989,2021,Petteri Lindbohm,FLA,D,4on5,9,169,5,0.55,0,0.14,0,0.14,0,0.16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,4,1,0,1,3,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0.3,0.29,0.3,0.29,1,2,0,3,0,0,0,1,2,0,0.05,0.25,0,0,0,0,3,3,3,0.05,0,0,0.36,0.36,0.34,0.18,1.09,3,19,0,0,0,0,0,0
8480113,2021,Alex Iafallo,LAK,L,4on5,79,7436,203,56.51,0.09,0.18,0.12,0.16,0.14,0.18,232,9.53,0.88,0.6,1.5,0.36,3.59,7.08,0.87,0.88,0.87,1,0,14,0,2,16,2,1,0,0,2,0,0,11,13,13,1,2,2,3,6,1,10,3,1,0.31,0.36,0.21,0,1,0,16,14,14,1,0.13,0,0,1.01,1.01,1,203,0,98,18,87,7,31,33,132,2,0,13134,2,0,0,1,18.32,1.71,1.7,1.71,1.7,23,3,3,29,2,0,0,18,5,3,0.5,0.55,0.67,0,1,1,29,26,26,0.23,0,0,1.94,1.94,1.92,117.16,16.62,15.63,16.62,15.63,115,43,64,222,20,13,4,105,31,22,2.69,3.57,10.36,4,5,11,222,158,158,2.63,2.71,2.71,16.54,16.54,15.83,5.43,24.69,70,361,0.01,0.01,1,1,1,1
8478498,2021,Jake DeBrusk,BOS,L,4on5,77,2864,90,40.49,0.11,0.14,0.16,0.14,0.18,0.17,338,4.3,0.14,0.13,0.68,0.13,1.32,3.59,0.14,0.14,0.14,0,0,5,1,0,6,0,0,0,0,2,0,0,4,5,6,1,2,0,1,2,0,6,0,0,0.14,0,0,0,0,0,6,6,6,0,0.03,0,0,0.17,0.17,0.17,90,4,10,6,70,2,12,9,67,0,2,15547,2,0,0,0,7.85,0.46,0.46,0.46,0.46,8,3,1,12,0,0,0,10,1,0,0.28,0.18,0,0,0,0,12,11,11,0.06,0,0,0.52,0.52,0.52,36.91,3.9,3.64,3.9,3.64,40,10,15,65,2,6,0,35,10,5,0.76,1.27,1.87,2,0,0,65,50,50,0.9,1.49,1.49,3.31,3.31,3.17,4.53,28.16,67,395,0.04,0.01,1,1,1,1
8478881,2021,Brett Seney,TOR,L,4on5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8478434,2021,Keegan Kolesar,VGK,R,4on5,77,2505,74,16.27,0.13,0.17,0.13,0.14,0.16,0.18,228,2.3,0.37,0.13,0.22,0.07,0.7,1.51,0.32,0.37,0.32,0,0,3,0,0,3,1,1,0,1,0,0,0,2,2,2,0,0,4,0,5,1,1,1,1,0.01,0.11,0.25,0,0,1,3,3,3,1,0.03,0,0.25,0.14,0.14,0.14,74,2,16,3,53,4,15,11,44,4,2,9887,0,2,1,0,8.43,0.99,0.95,0.99,0.95,10,1,0,11,1,1,1,6,4,1,0.11,0.63,0.25,0,0,1,11,11,11,0.09,0.25,0.25,0.83,0.83,0.83,42.04,6.46,6.18,6.46,6.18,44,12,21,77,7,8,3,38,12,6,0.81,1.61,4.04,0,3,4,77,56,56,0.97,2.87,2.87,4.56,4.56,4.39,3.58,17.45,48,288,0.12,0,1,0,1,0
8475455,2021,Brenden Dillon,WPG,D,4on5,79,7974,191,16.33,0.21,0.13,0.18,0.12,0.19,0.13,205,6.29,0.88,0.38,0.77,0.19,1.84,3.94,0.88,0.88,0.88,0,0,7,1,0,8,0,0,0,0,1,0,4,3,7,8,1,5,0,19,2,12,4,2,2,0.22,0.19,0.47,0,0,0,8,8,8,12,0.09,0,0,0.97,0.97,0.96,191,3,67,9,112,10,30,33,118,0,0,11776,5,0,0,0,33.91,4.54,4.32,4.54,4.32,37,6,5,48,3,2,0,26,8,9,0.95,0.96,2.63,1,0,2,48,43,43,0.45,0.74,0.74,4.25,4.25,4.22,129.95,16.59,15.58,16.59,15.58,136,48,42,226,22,11,4,126,40,18,3.31,4.76,8.52,3,7,12,226,184,184,3.15,3.03,3.03,16.71,16.71,15.97,4.22,27.17,48,347,0.19,0,2,1,2,0
8477335,2021,Kyle Burroughs,VAN,D,4on5,42,1185,33,0.72,0,0.11,0.03,0.14,0.05,0.16,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,2,27,6,6,4,17,0,0,3970,0,0,0,0,0.67,0.02,0.02,0.02,0.02,1,0,0,1,0,0,0,1,0,0,0.02,0,0,0,0,0,1,1,1,0.01,0,0,0.02,0.02,0.02,15.71,4.21,3.98,4.21,3.98,15,6,9,30,4,2,0,9,4,8,0.25,0.47,3.49,1,0,3,30,21,21,0.31,0.58,0.58,3.94,3.94,3.85,1.02,8.54,20,128,0,0,0,0,0,0
8480858,2021,Cameron Hillis,MTL,C,4on5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8474589,2021,Tyler Ennis,OTT,R,4on5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
